der Takt;beat
etw. anmerken;to note sth.
kritisch;critical
erscheinen;to appear
wahrscheinlich;probably
richtig liegen;to be right
offensichtlich;obviously
das Bügelbrett;ironing board
das Bügeleisen;iron
der Pömpel;plunger
verstopfen;to clog
die Saugglücke;sucker
benutzen ;to use 
anfassen;to touch
einfach;simply
beweisen;to prove
sich gratulieren;to congratulate oneself
herzlich;sincerely
die Schulter;shoulder
klopfen;to pat
außerhalb;outside
folgende;following
übernehmen;to take over
gewinnen;to win
anmerken;to note
denken;to think
ausrufen;to call out
der Wettbewerb;competition
streng genommen;strictly speaking
locker bleiben;to chill out
das Können;skills
unter Beweis stellen;to prove
die Geschirrspülmaschine;dishwasher
zuhause;at home
der Trockner;tumbler
dementsprechend;correspondingly
ein echter Schocker (ugs.);a real shock (colloq.)
geschockt sein;to be shocked
aufholen;to catch up
aussehen;to look
sich freuen;to be happy
ziemlich;pretty
verlässlich;reliable
überraschen;to surprise
der Heimtrainer;home trainer
das Laufband;treadmill
der Schreibtisch;desk
jdn. kennen;to know sb.
zumindest;at least
gehen auf;to go up to
jeder zweite;every second
bestellen;to order
irgendwas;something
Sport machen;to do exercise
die Bodenmatte;floor mat
korrigieren;to correct
wissen;to know
nutzen;to use
etw. stehen haben;to have sth. up
der Fuß;foot
jdn. zwingen;to force sb.
der Schritt;step
Sinn machen;to make sense
sich fragen;to wonder
gewisse;certain
die Anzahl;number
versuchen;to try
länger;longer
die Sammlung;collection
das Hörbuch;audio book
unangenehm;unpleasant
sinnlos;pointless
verrückt;crazy
bestätigen;to confirm
ableiten;to derive
ständig;permanently
schwitzen;to sweat
anstrengend;exhausting
außerdem;besides
rutschig;slippery
das Geländer;railing
unter Umständen;potentially
hinfallen;to fall down
das Putzmittel;cleaning agent
das Spülmittel;dish soap
kaufen;to buy
kosten;to cost
das Waschpulver;washing powder
unterschiedlich;different
der Schätzwert;estimated value
rechnen;to calculate
stimmen;to be correct
der Artikel;article
wegschmeißen;to throw away
das Reinigungsmittel;cleaning agent
das Pflegemittel;care product
der Haushaltsreiniger;household cleaner
teuer;expensive
wiederum;in turn
hinhauen;to be all right
je nachdem;depending on
darauf ankommen;to depend on
die Marke;brand name
am häufigsten;most common
verbrauchen;to use
der Glasreiniger;glass cleaner
die Fläche;area
reinigen;to clean
der Allzweckreiniger;all-purpose cleaner
die Badewanne;bathtub
die Scheuermilch;scouring milk
hartnäckig;more persistent
der Schmutz;dirt
der Kalk;lime
der Reiniger;cleaner
das Fenster;window
der Penner (ugs.);bum (colloq.)
die Aufklärung;resolution
meistgekauft;best-selling
recht haben;to be right
stinken;to smell
komisch;funny
zusammenfassen;to summarize
abspielen;to play
der Gewinner;winner
vor allen Dingen;more than anything
mitzählen;to count
lockern;to lighten up
die Aufgabe;duty
saugen;to vacuum
sich vor etw. drücken;to shirk sth.
schimpfen;to grumble
wischen;to wipe
statt;instead of
durchgehen;to go through
zuständig sein;to be responsible
der Abwasch;doing the dishes
ähnlich;similar to
talentiert sein;to be talented
die Spülmaschine;dishwasher
drastisch;drastic
etw. vereinfachen;to simplify sth.
mit Unglauben;in disbelief
der Teller;plate
das Geschirr;dishes
etw. einräumen;to place
anschaffen;to purchase
ansonsten;otherwise
die Wäsche aufhängen;to hang out the laundry
nervig;annoying
die Dusche;shower
sich verrenken;to twist
das Waschbecken;sink
den Müll rausbringen;to take out the garbage
das Einzelkind;only child
die Beteiligung ;participation 
die Hauspflicht;domestic duty
wegbringen;to take out
spülen;to wash up
aushelfen;to help out
damals;back then
ehrlich gesagt;to be honest
der Spaziergang;walk
der Staub;dust
der Staubsauger;vacuum cleaner
in Wirklichkeit;in truth
anschließen;to connect
ausreichend;sufficient
angetan sein;to be impressed
das Kaufhaus;shopping mall
die Abteilung;department
der Verkäufer;salesperson
das Opfer;victim
jdn. verlieren;to lose sb.
sicher sein;to be certain
sich etw. andrehen lassen;to be tricked into buying sth.
nachdem;after
wochenlang;for weeks
bewundern;to admire
höchst modern;highly modern
die Freude;joy
wohnen;to live
der Diener;servant
ordentlich;properly
pflegen;to care for
sich etw. gönnen;to treat oneself to sth.
das Stockwerk;floor
sich etw. anschaffen;to get sth.
programmierbar;programmable
die Strecke;route
billig;cheap
das Zufallsprinzip;principle of chance
der Namenstag;saint's day
der Staubsaugerroboter;vacuum cleaner robot
die Ausstattung;equipment
in Zukunft;in the future
erfinden;to invent
das Lieblingsgerät;favorite device
das Plastikteil (ugs.);thing made out of plastic (colloq.)
lecker;tasty
die Mischung;mix
die Bohne;bean
malen;to grind
das Blickfeld;field of vision
schmecken;to taste
spürbar;noticeable
einen neuen Weg beschreiten;to change direction
experimentieren;to experiment
die Früchte;fruits
das Gemüse;vegetables
letztendlich;finally
der Ingwer;ginger
verwässern;to dilute
sozusagen;so to speak
der Geschmack;taste
herstellen;to produce
im besten Sinne;in the best sense
farblich;in color
markieren;to mark
abschmecken;to taste
der Saft;juice
probieren;to try
sauer;sour
das Lebensziel;life goal
verführen;to tempt
die Richtung;direction
gemütlich;comfortably
lecker;delicious
klappen;to work
stattdessen;instead
der Sprudel;sparkling water
die Angewohnheit;habit
unnötig;unnecessary
die Leitung;pipe
das Leitungswasser;tap water
pumpen;to pump
die Gaskartusche;gas cartridge
seitdem;since then
regelmäßig;regularly
der Getränkelieferant;beverage deliveryman
verlassen;to leave
die Gewohnheit;household habit
überlegen;to consider
beisteuern;to add
inhaltlich;regarding the content
die Bettwäsche;bed sheets
jdn. etw. zuschieben;to push sth. towards sb.
erfolgreich;successful
sich wehren;to defend oneself
in anderer Form;in other ways
sich ablenken;to distract oneself
kochen;to cook
Zeit verbringen;to spend time
der Traum;dream
irgendwann;some day
entweder;either
die Lieferung;delivery
die Haushaltshilfe;household help
erledigt;done
der Luxusgegenstand;luxury article
die Kleinigkeit;small matter
auswählen;to pick out
sich überlegen;to consider
die Umgebung;surrounding area
die Essensgelegenheit;place to eat
die Mahlzeit;meal
ablaufen;to expire
die Jugendherberge;youth hostel
das Frühstück;breakfast
das Mittagessen;lunch
das Abendessen;dinner
das Vokabular;vocabulary
nützlich;useful
der Alltag;everyday life
überhaupt;anyway
die Polizei;police
der Einstieg;start
gefährlich;dangerous
die Hausaufgabe;homework
greifbar;tangible
nachdenken;to think about
deutlich;clearly
erkennen;to recognize
deshalb;therefore
untermauern;to support
die Hoffnung;hope
die Sinnhaftigkeit;usefulness
woraus;from which
bestehen aus;to consist of 
weit hergeholt;far-fetched
begreifen;to understand
grundlegend;basic
ziemlich;quite
die Sicherheit;security
spüren;to feel
der Konflikt;conflict
die Anstrengung;effort
logisch;logically
einfach;simple
die Lösung;solution
verabschieden;to say goodbye
die Teilnahme;participation
alltäglich;daily
abnehmen;to lose weight
stellen;to put
der Hamsterkauf;panic buying
überall;everywhere
versteckt;hidden
das Klopapier;toilet paper
tatsächlich;actually
raus gehen;to go outside
sondern;but
das Viertel;district
erschreckend;frightening
eigentlich;actually
die Packung;pack
sich dem Ende zuneigen;to be almost empty
vorbei kommen;to come over
darüber;about it
über etw. hinwegkommen;to get over sth.
die Geste;gesture
die Freundschaft;friendship
unaufgefordert;unsolicited
etw. vorbeibringen;to bring sth. over
wunderschön;beautiful 
beruhigen;to calm down
die Unmengen;masses
reichen;to be enough
der Nachbar;neighbor
fürchterlich;terrible
sich aufregen;to get angry
die Verfügbarkeit;availability
zu recht;rightly so
vollziehen;to execute
das Pärchen;couple
begrüßen;to greet
der Abstand;distance
die Verbeugung;bow
herzlich;sincere
die Umarmung;hug
etw. schwingt mit;there is a note of sth.
einziehen;to move in
die Regel;rule
missachten;to disregard
jdm. um den Hals fallen;to hug sb. enthusiastically
das Herz erobern;to conquer sb.'s heart
funktionieren;to work
einwandfrei;flawless
die Geschwindigkeit;speed
der Nachbarschaftszusammenhalt;solidarity between neighbors
über die Runden kommen;to get by
die Leitung;line
die Sendung;show
sich gut fühlen;to feel good
während;during
der Krankenwagen;ambulance
der Verbrecher;criminal
jagen;to chase
der Hubschrauber;helicopter
die Frage;question
mal schauen;to see how it goes
sprechen;to speak
der Kulturschock;culture shock
sich unterhalten;to talk
das Büro;office
auffallen;to be noticed
die Runde;company 
ruhig;quiet
der Andere;the other one
übergreifend;overall
schweigsam;quiet
Reden ist Silber, Schweigen ist Gold.;Talk is silver, silence is golden.
die Redensart;expression
die Redewendung;saying
reserviert;reserved
die Gelegenheit;opportunity
ausgenommen;except
fröhlich;happy
steif;stiff
verbreitet;verbreitet
früher;in the past
das Vorurteil;prejudice
etw. raushauen (ugs.);to say something (colloq.)
sich vorstellen;to imagine
zugehen (ugs.);to happen (colloq.)
auffallen;to notice
durchaus;absolutely
unglaublich;incredible
lautstark;loud
die Stille;silence
die Vermutung;presumption
individualistisch;individualistic
kollektivistisch;collectivist
die Gemeinschaft;community
im Vordergrund stehen;to be in the foreground
das Erlebnis;experience
sich erholen;to recover
nerven;to annoy
vor allem;more importantly
sowieso;anyway
sonst;otherwise
nebeneinander;side by side
angenehm;pleasant
das Zeichen;sign
sich gut verstehen;to get along well
unhöflich;rude
krass;extreme
das Verständnis;understanding
der Unterschied;difference
miteinander;together
etw. nicht böse meinen;to mean no harm
gewöhnt sein;to be used to
die Stimmung;mood
aufheizen;to heat up
witzig;funny
und zwar;in fact
kommen aus ;to come from 
jemand;someone
darum;that's why
doof;stupid
die Pandemie;pandemic
niemand;nobody
genervt;to be annoyed 
irgendein;any
krumm;bent
sich drehen;to turn
reagieren;to react
mit Sicherheit;certainly
hilfreich;helpful
im besten Fall;in the best case
weiterhin;still
viel Erfolg;good luck
