gucken;to look
jdm. widersprechen;to disagree with sb.
kritisieren;to criticize
die blöde Kuh (ugs.);stupid cow (colloq.)
labern (ugs.);to talk (colloq.)
jdm. etw. ins Gesicht sagen;to say sth. to sb.'s face
deshalb;therefore
täglich;daily
aussetzen;to pause
die halbe Stunde;half an hour
jemals;ever
kurz und knapp;concise
von jdm. lernen;to learn from sb.
machbar;feasible
die Entscheidung;decision
entweder oder;either or
nie wieder;never again
hören;to hear
wählen;to choose
besuchen;to visit
der Vorteil;advantage
hassen;to hate
tippen;to type
länger dauern;to take longer
sich an etw. gewöhnen;to get used to sth.
bündeln;to bundle
verdammt;damn
ruinieren;to ruin
einen Tipp geben;to give a hint
in Kontakt bleiben;to stay in touch
fühlen;to feel
normalerweise;normally
die Umgebung;surrounding area
der Schulfreund;school friend
gratulieren;to congratulate
irgendwem;anyone
erhöhen;to increase
die Lektion;lesson
die Pointe;punch line
passen;to be fitting
überfordert sein;to be overwhelmed
Freundschaft schließen;to make friends
Freundschaften halten;to keep friendships
überfordern;to overwhelm
begrenzt;limited
verteilen;to spread
unmöglich;impossible
einerseits;on the one hand
andererseits;on the other hand
sich etw. merken;to remember sth.
jdn. kennen;to know somebody
der Teufel;devil
die Wand;wall
malen;to paint
der Vorschlag;proposal
der Arzt;doctor
überlegen;to think
jedenfalls;anyway
den Teufel an die Wand malen (ugs.);to imagine the worst (colloq.)
die Redewendung;idiom
wunderbar;wonderful
die Angst;fear
wie gewohnt;as usual
innerhalb;within
etwas Schlimmes;something bad
das Krankenhaus;hospital
übertreiben;to exaggerate
vom Schlimmsten ausgehen;to assume the worst
der Aberglauben;superstition
ablichten;to take a picture
darstellen;to portray
übrigens;by the way
das Sprichwort;saying
erwähnen;to mention
im Krankenhaus liegen;to be in the hospital
wahrscheinlicher;more likely
duschen;to take a shower
der Ausdruck;expression
das Mittelalter;Middle Ages
die Arztserie;medical drama
irrelevant;irrelevant
jammern;to complain
vorstellen;to introduce
heulen;to whine
weinen;to cry
am wenigsten;the least
die Ausnahmesituation;exceptional situation
einschränkend;restricting
etw. in Perspektive setzen;to put sth. into perspective
in Anführungszeichen;in quotation marks
in einem Boot sitzen (ugs.);to be in the same boat (colloq.)
die Krankheit;disease
mit etw. konfrontiert sein;to be confronted with sth.
bedrohen;to threaten
die Risikogruppe;risk group
das Verhältnis;good conditions
die Betreuung;care
Krankenhausaufenthalt;hospital stay
sich kümmern;to take care of sb.
die Krankenversicherung;health insurance
leiden;to suffer
die Aufzählung ;listing 
der Friseur;hairdresser
der Kunde;client
auflisten;to list
die existentielle Not;existential hardship
überleben;to survive
entschleunigen;to slow down
anstrengend;exhausting
der Scheiß (ugs.);shit (ugs.)
die Tumorbehandlung;tumor therapy
das Kontaktverbot;prohibition of (physical) contact
traurig;sad
das Ehepaar;married couple
im Gegensatz zu;as opposed to
privilegiert;privileged
erleben;to experience
passend;suitable
der Deutschlehrer;German teacher
die Sprache;language
die Ausgangssperre;lockdown
zuhause;at home
angenehm;pleasant
etw. nachvollziehen können;to understand sth.
beschränken;to restrict
etw. wissen wollen;to want to know sth.
sich etw. widmen;to pursue sth.
herzlichen Dank;many thanks
spannend;exciting
gute Laune;good mood
drinstecken;to contain
jdm. schwerfallen;to be difficult
dadurch;thereby
das Bedürfnis;need
in dem Sinne;in that sense
diszipliniert;disciplined
dieselbe;the same
ziemlich;pretty
die Fahrradtour;bicycle tour
solange;as long as
krank;sick
betroffen sein;to be affected
körperlich;physically
beschulen;to school
ernsthaft;seriously
ernst;seriously
ähnlich;similar
dankbar;grateful
etw. ansprechen;to bring sth. up
der Balkon;balcony
rausgehen;to go out
die kleinen Dinge;the little things
kombinieren;to combine
der Straßenverkehr;road traffic
versteckt;hidden
die Parkanlage;park
der Fluss;river
der Schrebergarten;allotment garden
falsch;wrong
nachdenken;to ponder
draußen;outside
etw. durchmachen;to go through sth.
die Belastungsgrenze;limit of what sb. can take
veranlagt sein;to be predisposed
die Sorge;worry
beschäftigen;to be concerned
krass ablaufen (ugs.);to be crazy
dankbar sein;to be grateful
die Kleinigkeit;small matter
jdn. kennenlernen;to get to know sb.
weitaus;by far
geboren werden;to be born
Privilegien genießen;to enjoy privileges
schlecht;bad
etw. erfahren;to experience sth.
die Einbußen;losses
helfen;to help
tief;deep
fallen;to fall
das Sicherungsnetz;safety net
dazugehören;to be part of it
die Erkrankung;disease
sich erinnern;to remember
verlieren;to lose
schocken;to shock
die Wohlstandswelt;world of prosperity
sich abschotten;to close oneself off
die Grenze;border
verhungern;to starve
der Wohlstand;prosperity
aufgeben;to give up
grundsätzlich;basically
etw. abgeben;to give sth. away
genug;enough
ausarten;to get out of control
Pass auf!;Listen up!
zuerst;first
danken;to thank
verbessern;to improve
der Rassismus;racism
die Neurowissenschaft;neuroscience
das Gehirn;brain
repräsentieren;to represent
insbesondere;in particular
radikal;radical
der Terroranschlag;terrorist attack
die Wohnung;apartment
gefährlich;dangerous
die Erfahrung;experience
ausgezeichnet;excellent
wohnen;to live
angreifen;to attack
von etw. abhängen;to depend on sth.
der Kreis;circle
der Aufschwung;upswing
der Geflüchtete;refugee
ehrlich ;honestly 
etw. schönreden;to gloss over sth.
der Alltag;everyday life
das Kopftuch;headscarf
auf jdn. zeigen;to point at sb.
die Freundin;friend
der Anfang;beginning
das Bewerbungsgespräch;job interview
eingeladen;invited
etw. teilen;to share sth.
das Bauchgefühl;gut feeling
das Bild;image
unsicher;insecure
der Migrationshintergrund;migration background
ziehen nach;to move to
alleine;alone
verändern;to change
der Bundespräsident;President of the Federal Republic of Germany
die Rede;speech
sondern;but
der Gastarbeiter;immigrant worker
einladen ;to invite 
hierhin;here
die Gesellschaft;society
die Veränderung;change
der Grund;reason
einreisen;to enter
der Flüchtling;refugee
vergessen;to forget
die Welle;wave 
das Gebiet;area
die Partei;political
die Stimmen;votes
der Teil;part
infrage stellen;to question
unterschiedlich ;different 
die Hautfarbe;skin color
die Veranstaltung;event
meinen;to mean
deutlich;clearly
weltoffen;liberal-minded
willkommen;welcome
entweder oder ;either or
sich verhalten;to behave
vorbereiten;to prepare
der Großteil;greater part
grundsätzlich;fundamentally
die Bewegung;movement
in gewissem Maße;to a certain extent
zwingen;to force
sich mit etw. auseinandersetzen;to engage with sth.
unangenehm;unpleasant
die Geschichte;history
die Flüchtlingsbewegung;refugee movement
eine Rolle spielen;to matter
im großen Ganzen;all in all
früher;previously
plötzlich;suddenly
sich äußern;to express oneself
wählen;to vote
stattfinden;to take place
Mut machen;to give courage
offen;open
auf jeden Fall;definitely
draus;out of it
in Ordnung;okay
etw. abspielen;to play sth.
das Beispiel;example
die Bedeutung;meaning
und zwar;namely
sich fragen;to wonder
oft;often
merken;to realize
übersetzen;to translate
das Wörterbuch;dictionary
die Übersetzung;translation
der Lieblingsfilm;favorite film
auffallen;to notice
entscheiden;to decide
weiterführen;to continue
auf etw. hinweisen;to point sth. out
das Füllwort;filler word
während;during
quasi;basically
nachdenken;to think
die Macke;quirk
sich etw. abgewöhnen;to break with sth.
sich etw. angewöhnen;to get in the habit of sth.
ähnlich;similar to
das Trinkspiel;drinking game
der Schnapps;schnapps
nächstes;next
nachmittags;in the afternoon
aufnehmen;to record
vormittags;in the morning
hinüber;over
besoffen sein (ugs.);to be drunk (colloq.)
schneller;sooner
